인덱스	속성	이름	등급(성)	사용가능 레벨	작동 시간(초)	쿨 타임(턴)	스킬 공격력	타격 횟수	효과	적용 확률(%)	데미지	적용 턴 수	피격자 데미지 감소(%)	공격자의 수치 변화	다음 단계	필요 학습지 양	필요 속성 학습지 양	공격력	방어력	체력	이동 속도	공격 속도	크리티컬 확률(%)	이펙트
Skill180	Electricity01	짜릿한 빛	★★★★		0.7	1	240	1	감전	30	null	1	null	null	Skill181	80	16	40	40	240	0	0	0	line 05
Skill181	Electricity01	짜릿한 빛	★★★★★		0.7	1	480	1	감전	40	null	1	null	null	null	null	null	80	80	480	0	0	0	line 05
Skill182	Electricity02	쏘아보기	★		1.8	0	30	1	null	null	null	null	null	null	Skill183	10	2	5	5	30	0	0	0	Neon Vfx 26
Skill183	Electricity02	쏘아보기	★★		1.8	0	60	1	null	null	null	null	null	null	Skill184	20	4	10	10	60	0	0	0	Neon Vfx 26
Skill184	Electricity02	쏘아보기	★★★		1.8	0	120	1	null	null	null	null	null	null	Skill185	40	8	20	20	120	0	0	0	Neon Vfx 26
Skill185	Electricity02	쏘아보기	★★★★		1.8	1	240	1	감전	30	null	1	null	null	Skill186	80	16	40	40	240	0	0	0	Neon Vfx 26
Skill186	Electricity02	쏘아보기	★★★★★		1.8	1	480	1	감전	40	null	1	null	null	null	null	null	80	80	480	0	0	0	Neon Vfx 26
Skill187	Electricity03	정전기	★		0.6	0	10	3	null	null	null	null	null	null	Skill188	10	2	0	0	0	5	-0.02	0.2	Electric FX 16
Skill188	Electricity03	정전기	★★		0.6	0	20	3	null	null	null	null	null	null	Skill189	20	4	0	0	0	10	-0.04	0.4	Electric FX 16
Skill189	Electricity03	정전기	★★★		0.6	0	40	3	null	null	null	null	null	null	Skill190	40	8	0	0	0	20	-0.08	0.8	Electric FX 16
Skill190	Electricity03	정전기	★★★★		0.6	1	80	3	감전	30	null	1	null	null	Skill191	80	16	0	0	0	40	-0.16	1.6	Electric FX 16
Skill191	Electricity03	정전기	★★★★★		0.6	1	160	3	감전	40	null	1	null	null	null	null	null	0	0	0	80	-0.32	3.2	Electric FX 16
Skill192	Electricity04	건전지 던지기	★		1.1	1	12	3	null	null	null	null	null	null	Skill193	15	3	10	10	60	0	0	0	Electric FX 24
Skill193	Electricity04	건전지 던지기	★★		1.1	1	24	3	null	null	null	null	null	null	Skill194	30	6	20	20	120	0	0	0	Electric FX 24
Skill194	Electricity04	건전지 던지기	★★★		1.1	1	48	3	감전	30	null	1	null	null	Skill195	60	12	40	40	240	0	0	0	Electric FX 24
Skill195	Electricity04	건전지 던지기	★★★★		1.1	2	96	3	감전	40	null	1	null	null	Skill196	120	24	80	80	480	0	0	0	Electric FX 24
Skill196	Electricity04	건전지 던지기	★★★★★		1.1	2	192	3	감전	50	null	1	null	null	null	null	null	160	160	960	0	0	0	Electric FX 24
Skill197	Electricity05	전선 휘감기	★		1.3	1	21	2	null	null	null	null	null	null	Skill198	20	4	10	10	60	0	0	0	Electric FX 14
Skill198	Electricity05	전선 휘감기	★★		1.3	1	42	2	null	null	null	null	null	null	Skill199	40	8	20	20	120	0	0	0	Electric FX 14
Skill199	Electricity05	전선 휘감기	★★★		1.3	1	84	2	감전	30	null	1	null	null	Skill200	80	16	40	40	240	0	0	0	Electric FX 14
Skill200	Electricity05	전선 휘감기	★★★★		1.3	2	168	2	감전	40	null	1	null	null	Skill201	160	32	80	80	480	0	0	0	Electric FX 14
Skill201	Electricity05	전선 휘감기	★★★★★		1.3	2	336	2	감전	50	null	1	null	null	null	null	null	160	160	960	0	0	0	Electric FX 14
Skill202	Electricity06	스턴건	★		0.7	1	25	2	null	null	null	null	null	null	Skill203	30	6	0	0	0	10	-0.04	0.4	Electric FX 18
Skill203	Electricity06	스턴건	★★		0.7	1	50	2	null	null	null	null	null	null	Skill204	60	12	0	0	0	20	-0.08	0.8	Electric FX 18
Skill204	Electricity06	스턴건	★★★		0.7	1	100	2	감전	30	null	1	null	null	Skill205	120	24	0	0	0	40	-0.16	1.6	Electric FX 18
Skill205	Electricity06	스턴건	★★★★		0.7	2	200	2	감전	40	null	1	null	null	Skill206	240	48	0	0	0	80	-0.32	3.2	Electric FX 18
Skill206	Electricity06	스턴건	★★★★★		0.7	2	400	2	감전	50	null	1	null	null	null	null	null	0	0	0	160	-0.64	6.4	Electric FX 18
Skill207	Electricity07	고전압	★		1.85	2	15	4	null	null	null	null	null	null	Skill208	40	8	15	15	90	0	0	0	Electric FX 30
Skill208	Electricity07	고전압	★★		1.85	2	30	4	감전	30	null	1	null	null	Skill209	80	16	30	30	180	0	0	0	Electric FX 30
Skill209	Electricity07	고전압	★★★		1.85	2	60	4	감전	40	null	1	null	null	Skill210	160	32	60	60	360	0	0	0	Electric FX 30
Skill210	Electricity07	고전압	★★★★		1.85	3	120	4	감전	50	null	1	null	null	Skill211	240	64	120	120	720	0	0	0	Electric FX 30
Skill211	Electricity07	고전압	★★★★★		1.85	3	240	4	감전	60	null	2	null	null	null	null	null	240	240	1440	0	0	0	Electric FX 30
Skill212	Electricity08	전기 감옥	★		1.6	2	15	5	null	null	null	null	null	null	Skill213	60	12	15	15	90	0	0	0	Electric FX 22
Skill213	Electricity08	전기 감옥	★★		1.6	2	30	5	감전	30	null	1	null	null	Skill214	120	24	30	30	180	0	0	0	Electric FX 22
Skill214	Electricity08	전기 감옥	★★★		1.6	2	60	5	감전	40	null	1	null	null	Skill215	240	48	60	60	360	0	0	0	Electric FX 22
Skill215	Electricity08	전기 감옥	★★★★		1.6	3	120	5	감전	50	null	1	null	null	Skill216	480	96	120	120	720	0	0	0	Electric FX 22
Skill216	Electricity08	전기 감옥	★★★★★		1.6	3	240	5	감전	60	null	2	null	null	null	null	null	240	240	1440	0	0	0	Electric FX 22
Skill217	Electricity09	뇌우	★		2	2	29	3	null	null	null	null	null	null	Skill218	80	16	0	0	0	15	-0.05	0.5	Electric FX 36
Skill218	Electricity09	뇌우	★★		2	2	58	3	감전	30	null	1	null	null	Skill219	160	32	0	0	0	30	-0.1	1	Electric FX 36
Skill219	Electricity09	뇌우	★★★		2	2	116	3	감전	40	null	1	null	null	Skill220	320	64	0	0	0	60	-0.2	2	Electric FX 36
Skill220	Electricity09	뇌우	★★★★		2	3	232	3	감전	50	null	1	null	null	Skill221	640	128	0	0	0	120	-0.4	4	Electric FX 36
Skill221	Electricity09	뇌우	★★★★★		2	3	464	3	감전	60	null	2	null	null	null	null	null	0	0	0	240	-0.8	8	Electric FX 36
Skill222	Electricity10	낙뢰	★		2	3	16	6	감전	30	null	1	null	null	Skill223	100	20	20	20	120	20	-0.08	0.8	Electric FX 32
Skill223	Electricity10	낙뢰	★★		2	3	32	6	감전	40	null	1	null	null	Skill224	200	40	40	40	240	40	-0.16	1.6	Electric FX 32
Skill224	Electricity10	낙뢰	★★★		2	3	64	6	감전	50	null	1	null	null	Skill225	400	80	80	80	480	80	-0.32	3.2	Electric FX 32
Skill225	Electricity10	낙뢰	★★★★		2	4	128	6	감전	60	null	2	null	null	Skll226	800	160	160	160	960	160	-0.64	6.4	Electric FX 32
Skill226	Electricity10	낙뢰	★★★★★		2	4	256	6	감전	70	null	2	null	null	null	null	null	320	320	1920	320	-1.28	12.8	Electric FX 32
